,word,index,frequency
2602,['hundred'],0,957
5397,['arm'],0,957
43,['gas'],0,956
743,['standing'],0,956
2439,['gift'],0,956
692,['clothes'],0,955
4261,['center'],0,955
7062,['position'],0,955
2267,['kept'],0,954
2703,['neither'],0,953
2193,['folks'],0,951
5037,['ran'],0,951
468,['coffee'],0,950
727,['majesty'],0,949
2053,['orders'],0,949
3995,['third'],0,948
1760,['lock'],0,946
2508,['fat'],0,946
8334,['incredible'],0,946
7440,['area'],0,945
4091,['rules'],0,944
4764,['husband'],0,941
1011,['angel'],0,940
8592,['emergency'],0,940
3434,['america'],0,939
5439,['duck'],0,937
7626,['private'],0,937
5721,['cheese'],0,935
23056,['samurai'],0,935
2823,['spot'],0,934
161,['north'],0,932
6697,['skull'],0,930
7311,['metal'],0,930
10224,['gasping'],0,929
838,['table'],0,928
862,['merry'],0,927
9356,['butt'],0,927
1029,['silly'],0,926
1680,['wizard'],0,926
766,['forest'],0,925
1016,['loud'],0,922
2466,['yep'],0,921
5648,['monkey'],0,921
4549,['situation'],0,920
742,['snow'],0,919
2482,['sitting'],0,919
946,['stole'],0,917
4944,['mommy'],0,917
4173,['swear'],0,915
5636,['plans'],0,915
7107,['camera'],0,915
3915,['doubt'],0,914
6505,['grandpa'],0,914
660,['rich'],0,911
14756,['uhh'],0,911
3723,['nine'],0,910
6728,['50'],0,910
4333,['mary'],0,909
30833,['splinter'],0,909
783,['cry'],0,905
1734,['feels'],0,905
2133,['river'],0,905
1171,['blast'],0,903
10331,['tires'],0,903
1115,['bunch'],0,902
3327,['15'],0,901
2499,['laughter'],0,900
7393,['allow'],0,900
11554,['shell'],0,899
1945,['member'],0,898
6814,['device'],0,898
4998,['bill'],0,897
874,['dig'],0,894
1871,['thunder'],0,894
3341,['throat'],0,894
2831,['track'],0,891
9363,['grandma'],0,891
11155,['video'],0,891
927,['search'],0,890
4637,['plane'],0,890
1208,['castle'],0,888
1211,['wedding'],0,888
6172,['aii'],0,887
1720,['match'],0,886
2707,['cake'],0,886
6250,['store'],0,886
2038,['brand'],0,884
1830,['shoes'],0,883
3102,['wings'],0,883
4457,['board'],0,883
6141,['club'],0,883
36152,['finn'],0,881
3300,['taught'],0,880
223,['mountain'],0,879
1316,['respect'],0,879
1996,['sad'],0,879
1659,['league'],0,878
1789,['personal'],0,878
3289,['ourselves'],0,876
65577,['krang'],0,876
976,['tight'],0,875
8211,['screeching'],0,875
4234,['size'],0,874
8177,['scene'],0,874
424,['pan'],0,873
1182,['taste'],0,873
5412,['treasure'],0,873
2851,['de'],0,871
2865,['r'],0,871
3297,['especially'],0,871
2380,['named'],0,868
2516,['yesterday'],0,868
346,['build'],0,865
1511,['walking'],0,865
15166,['yells'],0,865
3134,['warm'],0,863
4922,['gotten'],0,862
5220,['self'],0,862
1222,['share'],0,860
2371,['village'],0,859
995,['doin'],0,858
1981,['helping'],0,857
612,['heavy'],0,856
1300,['h'],0,856
1608,['ugly'],0,854
9098,['tony'],0,854
1421,['sell'],0,853
3622,['books'],0,853
10353,['roger'],0,853
4329,['owe'],0,848
1973,['truly'],0,847
4423,['form'],0,847
2728,['glass'],0,846
3961,['paper'],0,846
4903,['extra'],0,845
7678,['horn'],0,845
2814,['crash'],0,844
3333,['hiding'],0,844
8656,['rumbling'],0,843
578,['visit'],0,842
886,['thousand'],0,842
2527,['lights'],0,842
375,['soul'],0,839
674,['famous'],0,839
1005,['gee'],0,839
5858,['crime'],0,839
2624,['monsters'],0,838
987,['nervous'],0,837
2012,['closer'],0,836
8475,['mystery'],0,835
1238,['breath'],0,834
1826,['ought'],0,834
4661,['genius'],0,834
384,['waste'],0,833
2496,['teacher'],0,833
4833,['during'],0,833
3392,['agree'],0,832
2420,['seat'],0,831
3835,['scott'],0,830
3883,['shake'],0,829
846,['everywhere'],0,826
303,['holding'],0,825
1139,['beyond'],0,825
2445,['choose'],0,825
2857,['service'],0,825
3312,['angry'],0,825
6167,['horrible'],0,825
3505,['fit'],0,823
3646,['college'],0,823
6715,['group'],0,823
5350,['continue'],0,822
1648,['ls'],0,821
5377,['offer'],0,819
3395,['afternoon'],0,817
1563,['appreciate'],0,816
475,['breakfast'],0,815
1406,['marry'],0,814
2063,['royal'],0,814
3983,['figured'],0,814
25614,['superman'],0,814
256,['jim'],0,813
6777,['defeat'],0,810
3010,['7'],0,809
7395,['huge'],0,809
414,['kinda'],0,808
821,['somehow'],0,808
2950,['interested'],0,807
4677,['reading'],0,807
400,['lots'],0,806
3668,['brown'],0,806
5883,['ringing'],0,806
9950,['justice'],0,806
6816,['bomb'],0,805
16775,['lab'],0,805
2552,['coach'],0,804
326,['admit'],0,802
1187,['dumb'],0,802
1256,['awful'],0,802
6221,['brothers'],0,802
1748,['apart'],0,801
2790,['built'],0,801
1586,['loves'],0,799
86,['strike'],0,798
3241,['acting'],0,798
5834,['plays'],0,798
3565,['card'],0,796
25,['pardon'],0,795
3942,['however'],0,795
8323,['prime'],0,795
3049,['gives'],0,794
1944,['cross'],0,793
972,['picked'],0,792
7948,['van'],0,792
2184,['main'],0,791
4849,['correct'],0,788
595,['mention'],0,786
4597,['heads'],0,786
7134,['problems'],0,785
8086,['chattering'],0,785
2372,['stars'],0,782
9188,['girlfriend'],0,781
2711,['cream'],0,780
4719,['kitty'],0,777
6180,['flight'],0,777
1589,['putting'],0,776
2502,['passed'],0,776
3347,['meat'],0,776
703,['congratulations'],0,774
3406,['south'],0,773
5161,['iike'],0,773
884,['sight'],0,771
1019,['belong'],0,771
4353,['gang'],0,769
11366,['james'],0,768
1891,['legs'],0,767
1434,['accept'],0,766
1527,['above'],0,766
1664,['hall'],0,765
1923,['creatures'],0,765
3639,['rocket'],0,765
459,['lived'],0,763
8649,['chuckling'],0,763
479,['memory'],0,762
4271,['8'],0,762
5786,['level'],0,762
5954,['brilliant'],0,762
9516,['tower'],0,762
1480,['bother'],0,760
3443,['ours'],0,760
2480,['calls'],0,757
2826,['list'],0,757
3110,['band'],0,757
3316,['upset'],0,757
7,['smile'],0,756
6298,['games'],0,756
945,['empty'],0,755
209,['fellow'],0,753
4651,['headed'],0,753
10526,['ray'],0,753
365,['ways'],0,752
5457,['crew'],0,751
252,['obviously'],0,750
588,['failed'],0,750
6421,['pants'],0,750
57,['duty'],0,749
1169,['scream'],0,749
4305,['prison'],0,748
4943,['practice'],0,748
3219,['treat'],0,746
4751,['bus'],0,746
4089,['letter'],0,745
415,['fresh'],0,744
64570,['ó'],0,744
3140,['freak'],0,743
3277,['tom'],0,743
52731,['morphin'],0,743
1083,['bite'],0,742
1804,['simply'],0,741
2146,['plenty'],0,741
480,['partner'],0,740
182,['brave'],0,739
3015,['grand'],0,738
3556,['losing'],0,736
1543,['henry'],0,734
2,['charles'],0,733
4820,['david'],0,733
5634,['burn'],0,733
1902,['tail'],0,732
1667,['accident'],0,731
3358,['keeping'],0,731
6598,['michael'],0,731
8669,['major'],0,731
12,['hospital'],0,730
2278,['mister'],0,730
3909,['bought'],0,728
5789,['beach'],0,727
6332,['jimmy'],0,727
3950,['driving'],0,726
1128,['loose'],0,724
1489,['twice'],0,724
10338,['heck'],0,724
131,['arms'],0,723
8224,['teeth'],0,723
10891,['candy'],0,723
7043,['turns'],0,722
2533,['u'],0,721
4393,['bank'],0,721
4539,['stories'],0,721
1295,['trapped'],0,720
14,['whose'],0,719
1210,['birds'],0,719
5918,['following'],0,718
23371,['salem'],0,718
637,['excited'],0,717
1534,['leg'],0,717
5401,['hulk'],0,717
581,['scare'],0,716
1189,['g'],0,716
3247,['weak'],0,715
3832,['lying'],0,714
803,['bright'],0,713
9232,['boom'],0,713
368,['fate'],0,712
1837,['notice'],0,711
20848,['jason'],0,710
6019,['toy'],0,709
1792,['lesson'],0,707
1980,['wondering'],0,707
1815,['warning'],0,706
2322,['nature'],0,706
3527,['paid'],0,706
8313,['hannah'],0,706
3968,['places'],0,705
10837,['nuts'],0,705
3819,['liked'],0,704
1075,['month'],0,703
6479,['guest'],0,703
7866,['target'],0,701
6174,['court'],0,699
3489,['favor'],0,698
5835,['note'],0,698
7130,['survive'],0,698
11406,['scary'],0,698
3314,['feed'],0,697
3706,['heading'],0,697
5563,['record'],0,697
6734,['release'],0,697
7029,['explosion'],0,697
10235,['shaggy'],0,697
143,['sweetheart'],0,696
2989,['tiny'],0,696
1471,['created'],0,694
1616,['switch'],0,694
1628,['kitchen'],0,694
2567,['mm'],0,694
4049,['listening'],0,694
4382,['nope'],0,692
4731,['holy'],0,692
37065,['megatron'],0,692
848,['dirty'],0,690
2630,['honest'],0,690
4513,['remain'],0,690
3050,['raise'],0,689
67512,['goku'],0,689
869,['dancing'],0,688
3125,['bat'],0,688
827,['possibly'],0,687
3509,['language'],0,687
2426,['boo'],0,686
5806,['according'],0,686
3240,['fellas'],0,685
640,['breathe'],0,684
2096,['feelings'],0,684
4006,['harm'],0,684
781,['papa'],0,683
38446,['mutants'],0,683
2877,['eggs'],0,682
4508,['whoever'],0,682
1721,['blame'],0,679
8411,['twilight'],0,679
1686,['west'],0,677
24,['ass'],0,676
4098,['100'],0,674
5036,['moved'],0,674
10612,['split'],0,674
3385,['spent'],0,673
35497,['avengers'],0,673
9563,['ancient'],0,672
1711,['ocean'],0,671
1861,['trees'],0,671
6443,['difficult'],0,671
1814,['serve'],0,670
2771,['bottom'],0,670
3702,['dollars'],0,670
8654,['whirring'],0,670
3685,['0'],0,668
11838,['alert'],0,667
274,['noise'],0,666
1784,['closed'],0,666
2535,['precious'],0,665
4110,['large'],0,665
2811,['rain'],0,664
2935,['k'],0,664
3513,['lay'],0,664
7216,['art'],0,664
2649,['risk'],0,662
9160,['sonny'],0,662
428,['beg'],0,661
726,['beauty'],0,661
1567,['perfectly'],0,661
1794,['hardly'],0,661
695,['officer'],0,660
2256,['helped'],0,660
17634,['cell'],0,660
24880,['penelope'],0,660
4624,['became'],0,659
79252,['aang'],0,659
3667,['cave'],0,658
3831,['mike'],0,658
12446,['weii'],0,657
19329,['laser'],0,657
18145,['hyah'],0,656
1966,['further'],0,654
6386,['starts'],0,654
5284,['colonel'],0,653
6358,['bruce'],0,653
20956,['spike'],0,652
292,['talked'],0,651
765,['keeps'],0,651
805,['cares'],0,651
2813,['flash'],0,650
6653,['jones'],0,650
1969,['breaking'],0,649
949,['cup'],0,647
2459,['mmm'],0,646
11589,['jean'],0,646
11856,['launch'],0,646
15673,['dragons'],0,646
1886,['yourselves'],0,645
4515,['button'],0,645
7344,['lieutenant'],0,645
13728,['fake'],0,645
3802,['falls'],0,644
4782,['hotel'],0,644
2760,['price'],0,643
5088,['saving'],0,643
8641,['plant'],0,642
1643,['mayor'],0,640
4501,['pool'],0,640
8325,['turning'],0,640
1313,['kingdom'],0,639
1389,['decision'],0,639
3875,['ate'],0,639
383,['doom'],0,638
3583,['study'],0,638
5826,['camp'],0,638
8215,['stolen'],0,638
2856,['heaven'],0,637
12317,['bathroom'],0,637
589,['f'],0,636
3420,['fired'],0,635
4628,['travel'],0,635
7925,['victory'],0,635
616,['played'],0,634
3230,['suggest'],0,634
977,['tie'],0,632
2008,['weather'],0,632
3962,['showed'],0,632
1688,['yellow'],0,631
7242,['shield'],0,631
788,['highness'],0,630
2054,['difference'],0,630
413,['someday'],0,629
1003,['pieces'],0,628
2340,['palace'],0,628
6544,['cousin'],0,628
5024,['killing'],0,627
5054,['adam'],0,627
6875,['stage'],0,627
2797,['aboard'],0,626
3376,['allowed'],0,626
1457,['biggest'],0,625
3100,['nah'],0,624
2387,['fantastic'],0,623
2787,['ears'],0,623
3173,['product'],0,622
671,['themselves'],0,621
4630,['experience'],0,621
775,['silence'],0,619
53201,['zedd'],0,619
893,['upstairs'],0,617
31098,['thor'],0,617
1077,['surprised'],0,616
12592,['beep'],0,616
7006,['operation'],0,615
8667,['jackson'],0,615
8178,['attacked'],0,614
15888,['skipper'],0,614
1145,['lies'],0,613
9417,['jerk'],0,613
5914,['falling'],0,612
6184,['eddie'],0,611
7286,['film'],0,611
8856,['rocky'],0,611
935,['shh'],0,610
4352,['mon'],0,610
4626,['american'],0,610
5453,['adventure'],0,610
11043,['apartment'],0,610
1598,['rainbow'],0,608
3847,['staying'],0,608
1130,['onto'],0,607
3485,['arrived'],0,606
7261,['freeze'],0,606
667,['milk'],0,605
3020,['necessary'],0,605
3975,['leaves'],0,605
6621,['dash'],0,605
1285,['natural'],0,604
4741,['appears'],0,604
5045,['punch'],0,604
37917,['ã'],0,604
1823,['nearly'],0,603
1866,['wave'],0,603
24554,['gwen'],0,603
42401,['kimberly'],0,603
2775,['ships'],0,602
6475,['egg'],0,601
3894,['usually'],0,600
84038,['âª'],0,600
4598,['ideas'],0,599
6532,['heat'],0,599
25687,['lantern'],0,598
336,['neck'],0,597
3264,['eric'],0,597
26151,['gotham'],0,597
33248,['portal'],0,597
8252,['government'],0,596
1089,['wet'],0,595
6924,['create'],0,595
10397,['escaped'],0,595
20539,['wayne'],0,595
2123,['grant'],0,594
7054,['project'],0,594
1263,['pet'],0,593
9083,['bug'],0,593
3787,['lake'],0,592
999,['sleeping'],0,591
2017,['gate'],0,591
11522,['whimpering'],0,591
2765,['dry'],0,590
5520,['parts'],0,590
6170,['pack'],0,590
188,['nowhere'],0,589
2270,['wrote'],0,589
3740,['wolf'],0,589
6022,['tiger'],0,589
6224,['9'],0,589
3672,['itself'],0,588
6509,['french'],0,588
7947,['hilda'],0,588
676,['press'],0,587
931,['hook'],0,587
1131,['steady'],0,587
7098,['focus'],0,587
8479,['nation'],0,587
1557,['dying'],0,586
4203,['decide'],0,585
10959,['boyfriend'],0,585
3960,['pictures'],0,584
5644,['secrets'],0,584
10355,['johnny'],0,584
6886,['fu'],0,583
7152,['stronger'],0,583
16636,['hiccup'],0,583
2294,['program'],0,582
8241,['museum'],0,582
658,['discovered'],0,581
2606,['public'],0,581
4030,['fingers'],0,581
6582,['keys'],0,581
3445,['letting'],0,580
4103,['shadow'],0,580
11787,['harper'],0,580
2750,['corner'],0,579
3223,['winter'],0,579
4600,['twenty'],0,579
14826,['yah'],0,579
740,['skin'],0,578
13642,['robots'],0,578
28,['dropped'],0,577
268,['fill'],0,577
3800,['safety'],0,577
5165,['warn'],0,577
2506,['fortune'],0,576
3336,['silver'],0,575
3402,['hanging'],0,575
3728,['dressed'],0,575
4441,['style'],0,575
6826,['curse'],0,575
4881,['driver'],0,574
3005,['jungle'],0,573
3174,['ends'],0,573
9785,['students'],0,573
2898,['rope'],0,572
4365,['chocolate'],0,571
5421,['spy'],0,571
5873,['coughing'],0,571
10265,['buzz'],0,571
715,['darkness'],0,570
37060,['optimus'],0,570
895,['names'],0,569
1618,['suddenly'],0,569
3368,['bringing'],0,569
4477,['consider'],0,569
954,['fools'],0,568
961,['flowers'],0,568
2066,['bow'],0,568
15282,['copy'],0,568
20146,['republic'],0,568
1695,['purpose'],0,567
1834,['lightning'],0,567
3439,['swim'],0,567
7346,['united'],0,567
11158,['larry'],0,567
831,['doll'],0,566
9524,['higher'],0,565
41923,['rook'],0,565
1315,['due'],0,564
1810,['deserve'],0,564
2894,['shape'],0,564
2631,['sake'],0,563
4121,['channel'],0,563
8251,['damage'],0,563
8296,['loser'],0,563
1813,['clever'],0,562
934,['fan'],0,560
1317,['chest'],0,560
1841,['color'],0,560
4317,['frank'],0,560
9543,['clears'],0,560
10163,['temple'],0,560
11211,['buzzing'],0,560
3865,['jane'],0,559
4003,['responsible'],0,558
5337,['clue'],0,558
8116,['source'],0,558
17577,['claw'],0,558
508,['wise'],0,556
777,['fail'],0,556
2692,['vacation'],0,556
5392,['er'],0,556
2456,['path'],0,555
5004,['nick'],0,555
11822,['cars'],0,555
32694,['sync'],0,554
2500,['innocent'],0,553
3797,['grown'],0,553
10262,['beeps'],0,553
14556,['revenge'],0,553
2254,['ruined'],0,552
7109,['data'],0,552
8003,['hidden'],0,552
1355,['sheep'],0,551
2737,['smoke'],0,551
4487,['roof'],0,551
4634,['exciting'],0,551
4889,['soldiers'],0,551
2730,['doors'],0,550
4994,['arrest'],0,550
241,['bones'],0,549
792,['nothin'],0,549
3313,['cost'],0,549
5125,['although'],0,549
8206,['applause'],0,549
11601,['gasp'],0,549
11852,['technology'],0,549
2612,['london'],0,548
3637,['pete'],0,548
5248,['thief'],0,548
9794,['yay'],0,548
2140,['guards'],0,547
10969,['arthur'],0,547
259,['type'],0,546
2696,['ticket'],0,545
8380,['snake'],0,545
749,['hoping'],0,544
3769,['moves'],0,544
4757,['forgotten'],0,544
712,['mirror'],0,543
4396,['pressure'],0,543
6299,['opening'],0,543
844,['dust'],0,542
950,['sugar'],0,542
1058,['apple'],0,542
1196,['somethin'],0,542
4181,['lift'],0,542
4449,['annie'],0,542
6393,['cap'],0,541
6433,['plus'],0,541
6911,['returned'],0,541
11359,['sweetie'],0,540
6193,['sandwich'],0,539
8746,['warriors'],0,539
3432,['often'],0,538
1732,['oil'],0,537
2320,['tells'],0,537
11079,['tape'],0,537
858,['whistle'],0,536
9878,['student'],0,536
16858,['agents'],0,536
39425,['mikey'],0,535
1068,['soup'],0,534
708,['mail'],0,533
1538,['sheriff'],0,533
7280,['location'],0,532
24898,['zack'],0,532
2051,['surrender'],0,531
3229,['season'],0,530
7461,['total'],0,530
818,['spring'],0,529
1600,['east'],0,529
2148,['audience'],0,529
1270,['delicious'],0,528
4239,['winner'],0,528
5473,['judge'],0,528
9136,['sarah'],0,528
4747,['agreed'],0,527
5066,['bud'],0,527
1742,['bang'],0,526
2276,['lad'],0,526
3696,['devil'],0,526
5864,['remind'],0,526
8452,['apparently'],0,526
22644,['daphne'],0,526
19512,['pinkie'],0,525
1436,['ln'],0,524
2815,['stops'],0,524
3837,['filled'],0,524
4770,['bucks'],0,524
6636,['toys'],0,524
15686,['oof'],0,524
19084,['dimension'],0,524
857,['wash'],0,523
2796,['climb'],0,523
3025,['ba'],0,523
19283,['destiny'],0,523
67,['enter'],0,522
331,['mouse'],0,522
1771,['whether'],0,522
4475,['settle'],0,522
9781,['whimpers'],0,522
998,['asleep'],0,521
3108,['hee'],0,521
7348,['forces'],0,521
8100,['prepared'],0,521
5314,['disappeared'],0,520
31005,['kung'],0,520
90748,['shifu'],0,520
843,['covered'],0,519
3172,['advertise'],0,519
6937,['fuel'],0,519
11462,['garbage'],0,519
993,['breathing'],0,518
1272,['shame'],0,518
2639,['shows'],0,518
19984,['zelda'],0,518
4524,['football'],0,517
5744,['council'],0,517
3051,['40'],0,516
3635,['humming'],0,516
531,['chair'],0,515
975,['comin'],0,515
3414,['shooting'],0,514
3912,['advice'],0,514
5664,['hunter'],0,514
6220,['zoo'],0,514
4359,['potter'],0,513
10982,['movies'],0,513
31651,['gordon'],0,513
1345,['juice'],0,512
2399,['paint'],0,512
3367,['blind'],0,512
3393,['horses'],0,512
3763,['freedom'],0,512
13530,['nightmare'],0,512
1498,['brains'],0,510
3135,['soft'],0,510
11076,['dramatic'],0,510
4581,['common'],0,509
13007,['galaxy'],0,509
2397,['fella'],0,508
3419,['soldier'],0,508
338,['shoe'],0,507
981,['wha'],0,507
4332,['jesus'],0,507
13126,['costume'],0,507
15395,['fleet'],0,506
16138,['empire'],0,506
32518,['starbuck'],0,506
929,['cook'],0,505
2993,['shirt'],0,505
3817,['bar'],0,505
4904,['distance'],0,505
1790,['lion'],0,504
4476,['cash'],0,504
4478,['draw'],0,504
8891,['planning'],0,504
14866,['armor'],0,504
2108,['junk'],0,503
2682,['killer'],0,503
3898,['pa'],0,503
4633,['blows'],0,503
14456,['systems'],0,503
4200,['competition'],0,502
33120,['josh'],0,502
1735,['held'],0,501
3309,['finding'],0,501
3352,['belongs'],0,501
9311,['rocks'],0,501
1280,['ordinary'],0,500
3171,['vip'],0,500
5030,['exist'],0,500
5176,['cats'],0,500
96456,['korra'],0,500
1701,['picking'],0,499
1892,['threw'],0,499
10659,['wiii'],0,499
61161,['irma'],0,499
2724,['destruction'],0,498
3804,['machines'],0,498
2238,['journey'],0,497
6377,['pigeon'],0,497
6730,['captured'],0,497
2435,['fairy'],0,496
5011,['writing'],0,496
14769,['gross'],0,496
2841,['circus'],0,495
3310,['sold'],0,495
17769,['detective'],0,495
885,['score'],0,494
2142,['rats'],0,494
3656,['pony'],0,494
8757,['challenge'],0,494
790,['jealous'],0,493
3124,['baseball'],0,493
3331,['grandfather'],0,493
738,['rose'],0,492
1200,['handsome'],0,492
2613,['growing'],0,492
3744,['noticed'],0,492
4026,['11'],0,492
4748,['original'],0,492
17474,['bulk'],0,492
22992,['skills'],0,492
2100,['pulled'],0,491
2295,['introduce'],0,491
3036,['terrific'],0,491
4660,['research'],0,491
956,['poison'],0,490
1121,['pink'],0,490
3559,['equipment'],0,490
3906,['pirate'],0,490
1358,['frog'],0,489
1847,['followed'],0,489
8103,['lately'],0,489
3591,['guns'],0,488
3587,['older'],0,486
3826,['hurts'],0,486
6016,['valley'],0,486
4962,['apologize'],0,485
6166,['evidence'],0,485
9863,['involved'],0,485
3150,['gotcha'],0,484
4082,['prize'],0,484
8074,['hug'],0,484
1201,['tall'],0,483
2941,['pretend'],0,483
4582,['ruin'],0,483
3153,['landing'],0,482
7505,['approaching'],0,482
12303,['gim'],0,482
43108,['neil'],0,482
1486,['nasty'],0,481
37387,['sensei'],0,481
592,['otherwise'],0,480
1460,['miracle'],0,480
1510,['farm'],0,480
3671,['range'],0,480
3928,['bottle'],0,480
4028,['winning'],0,480
4691,['rude'],0,480
11015,['senator'],0,480
5177,['points'],0,479
5704,['lines'],0,479
8362,['surface'],0,479
9076,['spirits'],0,479
648,['character'],0,478
2367,['sees'],0,478
4873,['babies'],0,478
1309,['rise'],0,477
4223,['easily'],0,477
16429,['apollo'],0,477
41422,['panda'],0,477
2453,['knowledge'],0,476
2731,['below'],0,476
3497,['spare'],0,476
3714,['deliver'],0,476
4076,['opportunity'],0,476
6052,['cheer'],0,476
8235,['unfortunately'],0,476
13772,['mask'],0,476
1879,['sooner'],0,475
83427,['miley'],0,475
8579,['wheel'],0,474
15500,['holmes'],0,474
22274,['ghosts'],0,474
1364,['bee'],0,473
2830,['junior'],0,473
3741,['whistling'],0,473
5305,['familiar'],0,473
98713,['kraang'],0,473
3304,['usual'],0,472
2855,['expecting'],0,471
4791,['golden'],0,471
4667,['answers'],0,470
6554,['stealing'],0,470
633,['stomach'],0,469
2903,['tickets'],0,469
10544,['planned'],0,469
16083,['cory'],0,469
27440,['aliens'],0,469
1362,['toothless'],0,468
1491,['finger'],0,468
4940,['jail'],0,468
538,['lonely'],0,467
1086,['tongue'],0,467
2483,['babe'],0,467
4316,['meaning'],0,467
4883,['capture'],0,467
16843,['maxwell'],0,467
1146,['proof'],0,466
1298,['crush'],0,466
2752,['block'],0,466
2454,['guide'],0,465
2836,['hill'],0,465
3035,['toast'],0,465
4325,['easier'],0,465
153,['rush'],0,463
4752,['department'],0,463
1452,['cow'],0,462
3677,['among'],0,462
2023,['fancy'],0,461
2338,['written'],0,461
2424,['oops'],0,461
2650,['load'],0,461
23626,['magical'],0,461
952,['smells'],0,460
7407,['tunnel'],0,459
10464,['repeat'],0,459
21996,['ay'],0,459
793,['woods'],0,458
1685,['mercy'],0,457
5750,['firing'],0,457
6042,['clearly'],0,456
6841,['worlds'],0,456
111,['proper'],0,455
1610,['national'],0,455
5697,['lower'],0,455
9254,['al'],0,454
2998,['weight'],0,453
9196,['memories'],0,452
9518,['credit'],0,451
34159,['vernon'],0,451
1155,['formula'],0,450
4772,['glasses'],0,449
6586,['jerry'],0,449
8253,['howard'],0,449
8861,['enemies'],0,449
38618,['lilly'],0,449
55,['13'],0,448
3569,['zero'],0,448
4095,['sending'],0,448
5026,['attitude'],0,448
371,['knowing'],0,447
1217,['comfortable'],0,447
1321,['bitch'],0,447
2792,['opens'],0,447
4902,['page'],0,447
5960,['seek'],0,447
6380,['murder'],0,447
3282,['coat'],0,446
5913,['invited'],0,446
1044,['finds'],0,445
2571,['permission'],0,445
3857,['faith'],0,445
6344,['25'],0,445
6182,['knocking'],0,444
11487,['friday'],0,444
4929,['sharp'],0,443
6909,['realized'],0,443
7106,['television'],0,443
8007,['blowing'],0,443
10912,['file'],0,443
23004,['coordinates'],0,443
4590,['borrow'],0,442
5872,['harder'],0,442
6600,['wendy'],0,442
12214,['susan'],0,442
1050,['herself'],0,441
1850,['matters'],0,441
4491,['willing'],0,441
5285,['madam'],0,441
5703,['cast'],0,441
10813,['assignment'],0,441
12435,['jetson'],0,441
21113,['teddy'],0,441
3021,['fixed'],0,440
3023,['clown'],0,440
3401,['condition'],0,440
4165,['crown'],0,440
4288,['states'],0,440
8537,['pure'],0,440
4356,['hearing'],0,439
15352,['thomas'],0,439
32370,['cyborg'],0,439
50561,['wolverine'],0,439
1931,['thoughts'],0,438
3082,['view'],0,438
5545,['balance'],0,438
6456,['balls'],0,438
6521,['guests'],0,438
11972,['vampire'],0,438
1353,['spread'],0,437
15991,['beam'],0,437
19113,['pathetic'],0,437
19212,['grunt'],0,437
1372,['aaah'],0,436
6418,['seemed'],0,436
8207,['whispering'],0,436
8303,['blew'],0,436
2070,['wing'],0,435
2071,['rabbit'],0,435
3028,['panic'],0,435
3539,['riding'],0,435
4198,['interest'],0,435
7995,['recognize'],0,435
15427,['understood'],0,435
25388,['scoob'],0,435
1458,['opened'],0,434
3629,['snap'],0,434
4669,['discuss'],0,434
6587,['lewis'],0,434
13916,['ms'],0,434
14098,['rex'],0,434
1612,['wherever'],0,433
2273,['legend'],0,432
9783,['oliver'],0,432
10438,['grove'],0,432
12981,['sonic'],0,432
3279,['champion'],0,431
2260,['whenever'],0,430
3670,['hunt'],0,430
4517,['crack'],0,430
4605,['paying'],0,430
9072,['military'],0,430
11117,['negative'],0,430
4639,['phil'],0,429
11966,['chill'],0,429
513,['faces'],0,428
3749,['darn'],0,428
5338,['ordered'],0,428
1908,['pocket'],0,427
2827,['useless'],0,427
3630,['responsibility'],0,427
5244,['boring'],0,427
10896,['carl'],0,427
556,['speech'],0,426
3496,['mate'],0,426
10122,['effect'],0,426
8745,['patrol'],0,425
9061,['defense'],0,425
12248,['weekend'],0,425
20245,['impressive'],0,425
2651,['midnight'],0,424
3449,['surely'],0,424
7011,['engines'],0,424
1874,['ape'],0,423
3288,['afford'],0,423
3323,['nonsense'],0,423
5878,['indistinct'],0,423
10692,['pilot'],0,423
19093,['cookies'],0,423
2257,['believed'],0,422
3029,['joey'],0,422
10920,['clark'],0,422
25959,['ªâ'],0,422
2970,['concentrate'],0,421
3965,['trade'],0,421
9919,['criminal'],0,421
2705,['cops'],0,420
2922,['personally'],0,420
5482,['fruit'],0,420
6531,['bowl'],0,420
8429,['threat'],0,420
8880,['andy'],0,419
10257,['bugs'],0,419
732,['grace'],0,418
1484,['garden'],0,418
2889,['swing'],0,418
4053,['disgusting'],0,418
6124,['earlier'],0,418
23921,['pippi'],0,418
46170,['libby'],0,418
272,['pair'],0,417
4101,['walls'],0,417
311,['cards'],0,416
500,['began'],0,416
4238,['leads'],0,416
5952,['hip'],0,416
7009,['unit'],0,416
54568,['titans'],0,416
3114,['diamond'],0,415
4355,['ear'],0,415
5070,['insane'],0,415
19718,['reality'],0,415
43042,['bebop'],0,415
10,['tear'],0,414
1407,['sire'],0,414
4623,['vote'],0,414
7105,['electricity'],0,414
34753,['xavier'],0,414
5562,['arrow'],0,413
6127,['prefer'],0,413
6260,['restaurant'],0,413
6760,['spanish'],0,413
10862,['walter'],0,413
11052,['goddamn'],0,413
21976,['rico'],0,413
1984,['burning'],0,412
4511,['contest'],0,412
6592,['rare'],0,412
6701,['guilty'],0,412
17641,['barely'],0,412
2378,['wood'],0,411
7992,['crashing'],0,411
4037,['pleased'],0,410
4438,['ernie'],0,410
11899,['zone'],0,410
2301,['screen'],0,409
3374,['runs'],0,409
