Word,Level
bay,B1
branch,B1
breeze,B1
cave,B1
cliff,B1
coast,B1
atom,B2
bank,B2
berry,B2
bush,B2
carbon footprint,B2
cloud,B2
bed,C2
air,A2
aluminum,B2
carbon,B2
carbon dioxide,B2
carbon monoxide,B2
climate change,B2
astronomy,C2
cloud,A2
climate,B1
acid,B2
coastline,C2
bottom,B1
atmosphere,B2
blow,B1
break,C2
boil,B1
bath,A1
check,B1
act,B2
attempt,B2
capture,C1
come,A1
come,A1
act,B1
behave,B1
blow,B1
act,B2
adjust,B2
campaign,C1
cling,C2
carry,A1
clean,A1
color,A1
add,A2
add,A2
bring,A2
brush,A2
collect,A2
achieve,B1
attach,B1
attempt,B1
avoid,B1
bury,B1
cancel,B1
carry,B1
catch,B1
circle,B1
collect,B1
acquire,B2
adapt,B2
adjust,B2
adopt,B2
analyze,B2
arrange,B2
assess,B2
avoid,B2
beat,B2
bury,B2
calculate,B2
capture,B2
clear,B2
clutch,C2
catch,A1
change,A1
choose,A1
close,A1
check,A2
climb,A2
arrange,B1
attend,B1
babysit,B1
clap,B1
approach,B2
assist,B2
bang,B2
bend,B2
brush,B2
charge,B2
chase,B2
combine,B2
blow,C2
carve,C2
adult,A1
baby,A1
beard,A1
boy,A1
comb,A2
adolescent,C2
beauty,B1
childhood,B1
background,B1
chance,B2
brain,C1
bully,C1
character,C1
anger,B2
anxiety,B2
appeal,B2
certainty,B2
charisma,C2
attitude,B1
character,B1
charm,B2
care,B1
appeal,B2
approve,B2
belong,B2
blush,B2
believe,A2
bother,A2
annoy,B1
attract,B1
admire,B2
appreciate,B2
betray,B2
bother,B2
bear,C1
behave,B1
care,B1
cheat,B2
capital,A2
citizen,B2
center,C2
birthday,A1
brother,A1
aunt,A2
boyfriend,A2
anniversary,B1
bride,B1
ceremony,B1
affair,B2
bond,B2
brother-in-law,B2
circle,B2
bond,C2
call,B1
celebrate,B1
adopt,B2
bag,A1
ball,A1
bat,A1
bookstore,A1
box,A1
board,A2
board game,A2
card,A2
basket,B1
captain,B1
chain,B1
champion,B1
checkout,B1
club,B1
arrow,B2
brand,B2
catalog,B2
business,A1
badminton,A2
chess,A2
baseball,A1
basketball,A1
come,A2
appear,B2
browse,B2
beat,B1
address,A1
CD,A1
bulb,B1
button,B1
card,B1
backup,B2
bookmark,B2
breakdown,B2
bug,B2
chip,B2
access,B1
broadband,B2
CD-ROM,B1
cable,B2
attach,B1
access,B2
bookmark,B2
burn,B2
browse,B2
charge,B2
bike,A1
boat,A1
bus,A1
car,A1
airplane,A2
airport,A2
bicycle,A2
bus station,A2
bus stop,A2
brake,B1
cab,B1
cabin,B1
campsite,B1
check-in (counter),B1
aircraft,B2
captain,B2
car,C1
cabin,C2
carriage,C2
air,A2
baggage,B1
approach,B2
adventure,A2
camp,B1
camp,B1
camp,A2
accelerate,C2
catch,A1
carry,B2
board,B1
book,B1
boss,A2
business,A2
businessman,A2
businesswoman,A2
agency,B1
architect,B1
career,B1
agent,B2
analyst,B2
chief,B2
client,B2
bid,C1
board,C1
career,C2
architecture,B1
business,B1
benefit,B1
advertise,B1
appoint,C1
build,A2
cigarette,A2
addict,B2
cancer,B1
alcohol,A2
champagne,A2
bacon,B1
beer,A1
cathedral,A2
church,A2
bribe,C1
bomb,B1
arrival,C1
arrival,B1
approval,B2
arrival,C2
acquaintance,C1
appliance,C1
alliance,C2
annoyance,C1
acceptance,C1
attendance,C1
attendance,C1
coherence,C2
coincidence,B2
baker,B1
blogger,B1
border,B1
butcher,B1
buyer,B1
banker,B2
climbing,A2
advertising,B2
banking,B2
coaching,B2
backing,C2
ambition,B1
application,B1
attraction,B1
collection,B1
collection,B1
addition,B2
association,B2
collocation,B2
accusation,C1
assumption,C1
audition,C1
administration,C2
administration,C2
allocation,C2
attention,B1
administration,C1
aggression,C1
caution,C1
civilization,C1
action,C2
allocation,C2
anticipation,C2
civilization,B2
combination,B2
action,C1
adaptation,C1
alteration,C1
auction,C1
cancellation,C1
collaboration,C1
accumulation,C2
application,C2
association,C2
classification,C2
action,C2
artist,A2
chemist,B1
celebrity,B1
authority,C1
activity,B2
authority,B2
availability,B2
charity,C2
ability,B1
charity,B1
capability,C1
ambiguity,C2
alternative,B2
authorize,C1
appointment,A2
arrangement,B2
attachment,B2
announcement,B1
amusement,B2
amendment,C1
attachment,C2
awareness,C1
closeness,C1
closeness,C1
blindness,C2
clumsiness,C2
coldness,C2
author,B1
calculator,B1
ambassador,B2
administrator,C1
anchor,C2
anchor,C2
bartender,B2
bomber,B2
bomber,C2
alcoholic,C2
board,A1
cell phone,A1
child,A1
city,A1
classroom,A1
clock,A1
actor,A2
adjective,A2
adverb,A2
alarm clock,A2
album,A2
answer,A2
backpack,A2
balloon,A2
barbecue,A2
bathing suit,A2
battery,A2
bill,A2
block,A2
block,A2
body,A2
box,A2
break,A2
bridge,A2
brush,A2
calendar,A2
call,A2
case,A2
center,A2
century,A2
check,A2
chef,A2
class,A2
classmate,A2
click,A2
closet,A2
club,A2
colleague,A2
accountant,B1
aim,B1
airline,B1
alarm,B1
ambulance,B1
answer,B1
antique,B1
area,B1
article,B1
assignment,B1
athlete,B1
backyard,B1
barbershop,B1
bargain,B1
bell,B1
blog,B1
board,B1
book,B1
branch,B1
break,B1
break,B1
bucket,B1
bulletin board,B1
canal,B1
case,B1
cash machine,B1
chance,B1
checkout,B1
cinema,B1
clinic,B1
club,B1
coach,B1
affair,B2
age,B2
agent,B2
animal,B2
approach,B2
area,B2
aspect,B2
bakery,B2
bang,B2
bar,B2
barrier,B2
base,B2
basis,B2
battle,B2
beam,B2
bell,B2
bend,B2
billion,B2
blade,B2
bonus,B2
bonus,B2
bow,B2
bow,B2
breakthrough,B2
bullet,B2
calendar,B2
candidate,B2
carnival,B2
carnival,B2
cart,B2
category,B2
cause,B2
cell,B2
cemetery,B2
chain,B2
citizen,B2
claim,B2
clause,B2
clue,B2
accessory,C1
agency,C1
agenda,C1
aid,C1
ally,C1
amateur,C1
amateur,C1
angle,C1
angle,C1
asset,C1
attorney,C1
avenue,C1
basis,C1
basis,C1
bid,C1
blank,C1
boundary,C1
boundary,C1
bracket,C1
breakdown,C1
bubble,C1
burden,C1
call,C1
campaign,C1
campaign,C1
cause,C1
charge,C1
chore,C1
clutch,C1
code,C1
column,C1
advocate,C2
agenda,C2
ally,C2
arch,C2
arm,C2
assembly,C2
attribute,C2
avenue,C2
back,C2
band,C2
barn,C2
base,C2
base,C2
battle,C2
bed,C2
bet,C2
blanket,C2
blend,C2
block,C2
blow,C2
blow,C2
body,C2
break,C2
breakdown,C2
bridge,C2
buzz,C2
care,C2
case,C2
ceiling,C2
certainty,C2
challenge,C2
champion,C2
chancellor,C2
chancellor,C2
charm,C2
chest,C2
chill,C2
circuit,C2
circuit,C2
circuit,C2
